Chemical formula,Tolerance factor,Lowest distortion,Stability [eV/atom],Label
AgAuO3,0.82,cubic,0.54,0
AgBO3,0.92,cubic,1.07,0
AgBaO3,0.69,orthorhombic,0.39,0
AgBeO3,1.03,cubic,0.68,0
AgBiO3,0.88,rhombohedral,0.06,0
AgCaO3,0.79,rhombohedral,0.44,0
AgCdO3,0.81,cubic,0.78,0
AgCeO3,0.81,orthorhombic,0.28,0
AgCoO3,0.94,orthorhombic,0.26,0
AgCrO3,1.01,orthorhombic,0.15,0
AgCsO3,0.62,cubic,1.29,0
AgCuO3,0.92,orthorhombic,0.23,0
AgDyO3,0.79,cubic,0.70,0
AgErO3,0.83,cubic,0.68,0
AgEuO3,0.77,orthorhombic,0.35,0
AgFeO3,0.92,orthorhombic,0.14,0
AgGaO3,0.94,orthorhombic,0.24,0
AgGdO3,0.81,cubic,0.73,0
AgGeO3,0.94,orthorhombic,0.19,0
AgHfO3,0.90,orthorhombic,0.17,0
AgHgO3,0.76,cubic,0.70,0
AgHoO3,0.83,cubic,0.69,0
AgInO3,0.86,cubic,0.64,0
AgIrO3,0.97,rhombohedral,0.15,0
AgKO3,0.68,cubic,1.76,0
AgLaO3,0.78,orthorhombic,0.26,0
AgLiO3,0.88,cubic,0.93,0
AgLuO3,0.84,cubic,0.57,0
AgMgO3,0.90,cubic,0.69,0
AgMnO3,0.94,orthorhombic,0.15,0
AgMoO3,0.95,cubic,0.18,0
AgNaO3,0.78,cubic,1.37,0
AgNbO3,0.93,rhombohedral,0.04,0
AgNdO3,0.80,cubic,0.83,0
AgNiO3,0.96,orthorhombic,0.23,0
AgNpO3,0.84,orthorhombic,0.09,0
AgOsO3,0.97,rhombohedral,0.18,0
AgPaO3,0.82,rhombohedral,-0.36,0
AgPbO3,0.79,orthorhombic,0.11,0
AgPdO3,0.88,orthorhombic,0.12,0
AgPmO3,0.80,cubic,0.76,0
AgPrO3,0.82,orthorhombic,0.28,0
AgPtO3,0.92,orthorhombic,0.16,0
AgPuO3,0.85,orthorhombic,0.05,0
AgRbO3,0.65,cubic,1.70,0
AgReO3,0.96,cubic,0.30,0
AgRhO3,0.95,orthorhombic,0.19,0
AgRuO3,0.97,rhombohedral,0.11,0
AgSbO3,0.95,orthorhombic,0.11,0
AgScO3,0.88,orthorhombic,0.24,0
AgSiO3,1.06,tetragonal,0.32,0
AgSmO3,0.80,cubic,0.74,0
AgSnO3,0.91,orthorhombic,0.15,0
AgSrO3,0.73,orthorhombic,0.35,0
AgTaO3,0.93,rhombohedral,0.02,1
AgTbO3,0.85,cubic,0.72,0
AgTcO3,0.95,rhombohedral,0.17,0
AgTeO3,0.88,orthorhombic,0.14,0
AgThO3,0.81,cubic,0.59,0
AgTiO3,0.90,orthorhombic,0.14,0
AgTlO3,0.73,cubic,0.69,0
AgTmO3,0.80,cubic,0.66,0
AgUO3,0.88,rhombohedral,-0.01,1
AgVO3,0.98,tetragonal,0.13,0
AgWO3,0.94,cubic,0.28,0
AgYO3,0.83,cubic,0.64,0
AgYbO3,0.81,orthorhombic,0.28,0
AgZnO3,0.89,cubic,0.64,0
AgZrO3,0.90,orthorhombic,0.19,0
AlAcO3,0.54,orthorhombic,0.23,0
AlAgO3,0.64,orthorhombic,0.20,0
AlAsO3,0.69,cubic,1.41,0
AlAuO3,0.59,cubic,1.69,0
AlBO3,0.82,cubic,1.61,0
AlBaO3,0.50,orthorhombic,0.22,0
AlBeO3,0.74,cubic,1.33,0
AlBiO3,0.59,orthorhombic,0.26,0
AlCaO3,0.57,orthorhombic,0.17,0
AlCdO3,0.58,orthorhombic,0.20,0
AlCeO3,0.57,orthorhombic,0.29,0
AlCoO3,0.68,cubic,1.30,0
AlCrO3,0.68,cubic,1.34,0
AlCsO3,0.44,cubic,2.67,0
AlCuO3,0.71,cubic,1.29,0
AlDyO3,0.59,rhombohedral,0.24,0
AlErO3,0.60,orthorhombic,0.24,0
AlEuO3,0.58,orthorhombic,0.18,0
AlFeO3,0.67,cubic,1.33,0
AlGaO3,0.68,cubic,1.44,0
AlGdO3,0.58,rhombohedral,0.25,0
AlGeO3,0.68,cubic,1.17,0
AlHfO3,0.65,cubic,1.03,0
AlHgO3,0.54,orthorhombic,0.25,0
AlHoO3,0.59,rhombohedral,0.24,0
AlInO3,0.62,orthorhombic,0.20,0
AlIrO3,0.66,cubic,1.48,0
AlKO3,0.49,orthorhombic,0.29,0
AlLaO3,0.56,orthorhombic,0.23,0
AlLiO3,0.63,cubic,1.69,0
AlLuO3,0.61,rhombohedral,0.23,0
AlMgO3,0.65,cubic,1.69,0
AlMnO3,0.67,cubic,1.28,0
AlMoO3,0.66,cubic,1.03,0
AlNaO3,0.56,orthorhombic,0.32,0
AlNbO3,0.65,cubic,0.88,0
AlNdO3,0.57,orthorhombic,0.28,0
AlNiO3,0.69,cubic,1.31,0
AlNpO3,0.61,orthorhombic,0.27,0
AlOsO3,0.70,cubic,1.30,0
AlPaO3,0.59,cubic,0.77,0
AlPbO3,0.57,orthorhombic,0.29,0
AlPdO3,0.63,cubic,1.45,0
AlPmO3,0.58,orthorhombic,0.27,0
AlPrO3,0.57,orthorhombic,0.29,0
AlPtO3,0.66,cubic,1.56,0
AlPuO3,0.61,orthorhombic,0.22,0
AlRbO3,0.47,cubic,2.95,0
AlReO3,0.68,cubic,1.16,0
AlRhO3,0.66,cubic,1.43,0
AlRuO3,0.66,cubic,1.33,0
AlSbO3,0.63,cubic,1.31,0
AlScO3,0.64,cubic,1.67,0
AlSiO3,0.76,cubic,1.03,0
AlSmO3,0.58,orthorhombic,0.27,0
AlSnO3,0.66,cubic,1.32,0
AlSrO3,0.53,orthorhombic,0.19,0
AlTaO3,0.65,cubic,0.75,0
AlTbO3,0.59,rhombohedral,0.25,0
AlTcO3,0.69,cubic,1.18,0
AlTeO3,0.63,cubic,1.42,0
AlThO3,0.58,cubic,1.47,0
AlTiO3,0.66,cubic,1.03,0
AlTlO3,0.60,orthorhombic,0.19,0
AlTmO3,0.60,rhombohedral,0.24,0
AlUO3,0.56,orthorhombic,0.45,0
AlVO3,0.67,orthorhombic,0.15,0
AlWO3,0.67,cubic,0.95,0
AlYO3,0.59,rhombohedral,0.24,0
AlYbO3,0.60,orthorhombic,0.12,0
AlZnO3,0.64,cubic,1.61,0
AlZrO3,0.65,cubic,1.12,0
AsAcO3,0.54,orthorhombic,-0.11,0
AsAgO3,0.65,cubic,1.34,0
AsAlO3,0.72,cubic,0.64,0
AsAuO3,0.58,cubic,1.26,0
AsBO3,0.84,cubic,1.18,0
AsBaO3,0.49,orthorhombic,0.23,0
AsBeO3,0.73,cubic,1.02,0
AsBiO3,0.59,cubic,1.13,0
AsCaO3,0.56,orthorhombic,0.13,0
AsCdO3,0.58,cubic,1.51,0
AsCeO3,0.62,cubic,1.67,0
AsCoO3,0.70,cubic,0.82,0
AsCrO3,0.69,cubic,0.77,0
AsCsO3,0.44,cubic,2.56,0
AsCuO3,0.72,cubic,0.88,0
AsDyO3,0.60,cubic,1.39,0
AsErO3,0.61,cubic,1.30,0
AsEuO3,0.59,orthorhombic,0.02,1
AsFeO3,0.68,cubic,0.81,0
AsGaO3,0.69,cubic,0.83,0
AsGdO3,0.60,cubic,1.40,0
AsGeO3,0.73,cubic,0.71,0
AsHfO3,0.66,cubic,0.77,0
AsHgO3,0.54,cubic,1.59,0
AsHoO3,0.61,cubic,1.36,0
AsInO3,0.64,cubic,1.17,0
AsIrO3,0.69,cubic,0.96,0
AsKO3,0.49,orthorhombic,-0.17,0
AsLaO3,0.57,cubic,1.60,0
AsLiO3,0.63,cubic,1.59,0
AsLuO3,0.62,cubic,1.23,0
AsMgO3,0.64,cubic,1.26,0
AsMnO3,0.73,cubic,0.78,0
AsMoO3,0.68,cubic,0.68,0
AsNaO3,0.56,orthorhombic,0.13,0
AsNbO3,0.67,cubic,0.69,0
AsNdO3,0.59,cubic,1.60,0
AsNiO3,0.70,cubic,0.97,0
AsNpO3,0.60,cubic,1.13,0
AsOsO3,0.69,cubic,0.83,0
AsPaO3,0.59,cubic,0.57,0
AsPbO3,0.64,orthorhombic,0.22,0
AsPdO3,0.69,cubic,1.00,0
AsPmO3,0.57,cubic,1.48,0
AsPrO3,0.62,cubic,1.55,0
AsPtO3,0.65,cubic,1.02,0
AsPuO3,0.61,cubic,0.98,0
AsRbO3,0.46,orthorhombic,-0.20,0
AsReO3,0.69,cubic,0.76,0
AsRhO3,0.68,cubic,0.88,0
AsRuO3,0.69,cubic,0.83,0
AsSbO3,0.67,cubic,0.85,0
AsScO3,0.65,cubic,1.04,0
AsSiO3,0.78,cubic,0.83,0
AsSmO3,0.59,cubic,1.53,0
AsSnO3,0.67,cubic,0.81,0
AsSrO3,0.52,rhombohedral,0.43,0
AsTaO3,0.67,cubic,0.69,0
AsTbO3,0.65,cubic,1.42,0
AsTcO3,0.68,cubic,0.75,0
AsTeO3,0.59,cubic,0.94,0
AsThO3,0.60,cubic,1.23,0
AsTiO3,0.70,cubic,0.67,0
AsTlO3,0.61,cubic,1.45,0
AsTmO3,0.61,cubic,1.27,0
AsUO3,0.61,cubic,0.82,0
AsVO3,0.71,cubic,0.80,0
AsWO3,0.68,cubic,0.78,0
AsYO3,0.61,cubic,1.39,0
AsYbO3,0.62,orthorhombic,0.00,1
AsZnO3,0.63,cubic,1.18,0
AsZrO3,0.66,cubic,0.84,0
AuAcO3,0.65,orthorhombic,0.31,0
AuAgO3,0.70,cubic,0.83,0
AuAlO3,0.85,cubic,0.58,0
AuAsO3,0.86,cubic,0.61,0
AuBO3,0.99,cubic,1.33,0
AuBaO3,0.60,orthorhombic,0.45,0
AuBeO3,0.89,cubic,0.86,0
AuBiO3,0.72,cubic,0.59,0
AuCaO3,0.69,cubic,1.41,0
AuCdO3,0.70,cubic,1.05,0
AuCeO3,0.70,cubic,1.10,0
AuCoO3,0.81,cubic,0.70,0
AuCrO3,0.83,cubic,0.54,0
AuCsO3,0.53,cubic,1.59,0
AuCuO3,0.79,cubic,0.67,0
AuDyO3,0.69,cubic,1.00,0
AuErO3,0.72,cubic,0.96,0
AuEuO3,0.67,orthorhombic,0.29,0
AuFeO3,0.80,cubic,0.57,0
AuGaO3,0.82,cubic,0.72,0
AuGdO3,0.70,cubic,1.00,0
AuGeO3,0.81,cubic,0.60,0
AuHfO3,0.78,cubic,0.54,0
AuHgO3,0.66,cubic,0.98,0
AuHoO3,0.72,cubic,0.91,0
AuInO3,0.75,cubic,0.91,0
AuIrO3,0.81,cubic,0.60,0
AuKO3,0.59,orthorhombic,0.45,0
AuLaO3,0.68,cubic,1.17,0
AuLiO3,0.76,cubic,1.08,0
AuLuO3,0.73,cubic,0.91,0
AuMgO3,0.78,cubic,0.89,0
AuMnO3,0.82,cubic,0.53,0
AuMoO3,0.82,rhombohedral,0.50,0
AuNaO3,0.68,cubic,1.64,0
AuNbO3,0.79,rhombohedral,0.32,0
AuNdO3,0.69,cubic,1.15,0
AuNiO3,0.83,cubic,0.68,0
AuNpO3,0.73,cubic,0.60,0
AuOsO3,0.84,cubic,0.53,0
AuPaO3,0.71,rhombohedral,-0.14,0
AuPbO3,0.69,cubic,0.72,0
AuPdO3,0.77,cubic,0.65,0
AuPmO3,0.69,cubic,1.06,0
AuPrO3,0.71,cubic,1.09,0
AuPtO3,0.80,cubic,0.71,0
AuPuO3,0.74,cubic,0.52,0
AuRbO3,0.56,cubic,2.04,0
AuReO3,0.84,cubic,0.63,0
AuRhO3,0.82,cubic,0.64,0
AuRuO3,0.82,orthorhombic,0.26,0
AuSbO3,0.79,rhombohedral,0.26,0
AuScO3,0.77,cubic,0.80,0
AuSiO3,0.92,cubic,0.74,0
AuSmO3,0.70,cubic,1.09,0
AuSnO3,0.79,cubic,0.62,0
AuSrO3,0.64,orthorhombic,0.44,0
AuTaO3,0.79,rhombohedral,0.30,0
AuTbO3,0.74,cubic,1.01,0
AuTcO3,0.83,orthorhombic,0.40,0
AuTeO3,0.76,orthorhombic,0.33,0
AuThO3,0.70,cubic,0.86,0
AuTiO3,0.78,orthorhombic,0.28,0
AuTlO3,0.63,cubic,0.98,0
AuTmO3,0.70,cubic,0.87,0
AuUO3,0.73,orthorhombic,0.24,0
AuVO3,0.81,orthorhombic,0.27,0
AuWO3,0.81,cubic,0.60,0
AuYO3,0.72,cubic,0.92,0
AuYbO3,0.70,cubic,1.21,0
AuZnO3,0.77,cubic,0.88,0
AuZrO3,0.78,cubic,0.59,0
BAcO3,0.46,cubic,2.69,0
BAgO3,0.50,cubic,2.64,0
BAlO3,0.61,cubic,2.41,0
BAsO3,0.63,cubic,2.01,0
BAuO3,0.50,cubic,2.56,0
BBaO3,0.43,cubic,3.34,0
BBeO3,0.64,cubic,2.61,0
BBiO3,0.54,cubic,2.34,0
BCaO3,0.49,cubic,3.28,0
BCdO3,0.50,cubic,2.95,0
BCeO3,0.52,cubic,3.03,0
BCoO3,0.61,cubic,2.36,0
BCrO3,0.62,cubic,2.27,0
BCsO3,0.38,cubic,3.42,0
BCuO3,0.56,cubic,2.47,0
BDyO3,0.49,cubic,2.90,0
BErO3,0.51,cubic,2.83,0
BEuO3,0.48,cubic,3.16,0
BFeO3,0.59,cubic,2.32,0
BGaO3,0.58,cubic,2.57,0
BGdO3,0.50,cubic,2.87,0
BGeO3,0.61,cubic,2.05,0
BHfO3,0.56,cubic,1.94,0
BHgO3,0.47,cubic,2.82,0
BHoO3,0.51,cubic,2.84,0
BInO3,0.53,cubic,2.80,0
BIrO3,0.60,cubic,2.10,0
BKO3,0.42,cubic,3.93,0
BLaO3,0.48,cubic,2.96,0
BLiO3,0.54,cubic,3.05,0
BLuO3,0.52,cubic,2.83,0
BMgO3,0.55,cubic,2.93,0
BMnO3,0.61,cubic,2.26,0
BMoO3,0.59,cubic,1.51,0
BNaO3,0.48,cubic,3.62,0
BNbO3,0.58,cubic,1.38,0
BNdO3,0.49,cubic,3.00,0
BNiO3,0.63,cubic,2.53,0
BNpO3,0.52,cubic,1.94,0
BOsO3,0.60,cubic,1.81,0
BPaO3,0.51,cubic,1.37,0
BPbO3,0.54,cubic,2.53,0
BPdO3,0.58,cubic,2.37,0
BPmO3,0.49,cubic,2.82,0
BPrO3,0.52,cubic,2.99,0
BPtO3,0.57,cubic,2.33,0
BPuO3,0.53,cubic,2.12,0
BRbO3,0.40,cubic,3.87,0
BReO3,0.59,cubic,1.61,0
BRhO3,0.59,cubic,2.19,0
BRuO3,0.60,cubic,1.95,0
BSbO3,0.59,cubic,1.82,0
BScO3,0.55,cubic,2.70,0
BSiO3,0.65,cubic,1.89,0
BSmO3,0.50,cubic,2.91,0
BSnO3,0.56,cubic,2.16,0
BSrO3,0.45,cubic,3.41,0
BTaO3,0.58,cubic,1.31,0
BTbO3,0.54,cubic,2.84,0
BTcO3,0.59,cubic,1.70,0
BTeO3,0.49,cubic,1.93,0
BThO3,0.50,cubic,2.23,0
BTiO3,0.59,cubic,1.89,0
BTlO3,0.45,cubic,2.77,0
BTmO3,0.50,cubic,2.74,0
BUO3,0.54,cubic,1.60,0
BVO3,0.61,cubic,1.93,0
BWO3,0.58,cubic,1.38,0
BYO3,0.51,cubic,2.94,0
BYbO3,0.50,cubic,3.04,0
BZnO3,0.55,cubic,2.78,0
BZrO3,0.55,cubic,2.00,0
BaAcO3,0.85,orthorhombic,0.11,0
BaAgO3,0.91,rhombohedral,0.12,0
BaAlO3,1.11,cubic,0.22,0
BaAsO3,1.12,cubic,0.28,0
BaAuO3,0.92,orthorhombic,0.22,0
BaBO3,1.29,cubic,1.29,0
BaBeO3,1.16,cubic,0.64,0
BaBiO3,0.93,rhombohedral,0.01,1
BaCaO3,0.89,orthorhombic,0.43,0
BaCdO3,0.91,orthorhombic,0.28,0
BaCeO3,0.94,orthorhombic,0.15,0
BaCoO3,1.11,orthorhombic,0.11,0
BaCrO3,1.10,orthorhombic,0.12,0
BaCsO3,0.69,cubic,0.78,0
BaCuO3,1.03,rhombohedral,0.14,0
BaDyO3,0.89,orthorhombic,0.12,0
BaErO3,0.93,orthorhombic,0.11,0
BaEuO3,0.87,orthorhombic,0.33,0
BaFeO3,1.08,cubic,0.00,1
BaGaO3,1.06,cubic,0.08,0
BaGdO3,0.91,orthorhombic,0.13,0
BaGeO3,1.11,rhombohedral,0.23,0
BaHfO3,1.01,cubic,-0.25,0
BaHgO3,0.85,orthorhombic,0.20,0
BaHoO3,0.93,orthorhombic,0.12,0
BaInO3,0.97,cubic,0.12,0
BaIrO3,1.06,orthorhombic,0.12,0
BaKO3,0.77,cubic,1.04,0
BaLaO3,0.88,orthorhombic,0.13,0
BaLiO3,0.99,cubic,0.56,0
BaLuO3,0.95,orthorhombic,0.10,0
BaMgO3,1.01,rhombohedral,0.34,0
BaMnO3,1.11,orthorhombic,0.11,0
BaMoO3,1.04,cubic,0.00,1
BaNaO3,0.88,cubic,0.74,0
BaNbO3,1.03,cubic,-0.04,0
BaNdO3,0.90,orthorhombic,0.15,0
BaNiO3,1.14,orthorhombic,0.18,0
BaNpO3,0.95,orthorhombic,-0.09,0
BaOsO3,1.09,cubic,-0.10,0
BaPaO3,0.93,orthorhombic,-0.22,0
BaPbO3,0.98,orthorhombic,-0.07,0
BaPdO3,1.06,orthorhombic,-0.01,1
BaPmO3,0.90,orthorhombic,0.14,0
BaPrO3,0.95,orthorhombic,0.15,0
BaPtO3,1.03,orthorhombic,0.02,1
BaPuO3,0.96,rhombohedral,0.00,1
BaRbO3,0.73,cubic,1.01,0
BaReO3,1.06,cubic,0.13,0
BaRhO3,1.07,orthorhombic,0.08,0
BaRuO3,1.06,cubic,0.07,0
BaSbO3,1.03,cubic,0.06,0
BaScO3,1.00,cubic,0.07,0
BaSiO3,1.19,cubic,0.52,0
BaSmO3,0.91,orthorhombic,0.14,0
BaSnO3,1.02,cubic,-0.05,0
BaSrO3,0.83,cubic,0.58,0
BaTaO3,1.03,cubic,0.04,0
BaTbO3,0.99,orthorhombic,0.13,0
BaTcO3,1.07,rhombohedral,0.06,0
BaTeO3,0.90,tetragonal,0.13,0
BaThO3,0.91,orthorhombic,0.00,1
BaTiO3,1.07,tetragonal,-0.03,0
BaTlO3,0.82,orthorhombic,0.14,0
BaTmO3,0.91,orthorhombic,0.10,0
BaUO3,0.93,orthorhombic,-0.09,0
BaVO3,1.08,orthorhombic,0.07,0
BaWO3,1.04,cubic,0.16,0
BaYO3,0.93,orthorhombic,0.13,0
BaYbO3,0.91,rhombohedral,0.40,0
BaZnO3,1.00,cubic,0.27,0
BaZrO3,1.01,cubic,-0.10,0
BeAcO3,0.52,rhombohedral,0.21,0
BeAgO3,0.55,cubic,1.73,0
BeAlO3,0.67,cubic,1.31,0
BeAsO3,0.68,cubic,1.39,0
BeAuO3,0.56,cubic,1.73,0
BeBO3,0.79,cubic,1.66,0
BeBaO3,0.47,cubic,2.63,0
BeBiO3,0.57,cubic,1.67,0
BeCaO3,0.54,orthorhombic,0.09,0
BeCdO3,0.55,cubic,1.98,0
BeCeO3,0.57,rhombohedral,0.25,0
BeCoO3,0.68,cubic,1.41,0
BeCrO3,0.67,cubic,1.39,0
BeCsO3,0.42,cubic,2.77,0
BeCuO3,0.63,cubic,1.41,0
BeDyO3,0.54,cubic,2.02,0
BeErO3,0.57,cubic,1.98,0
BeEuO3,0.53,orthorhombic,0.00,1
BeFeO3,0.66,cubic,1.31,0
BeGaO3,0.65,cubic,1.55,0
BeGdO3,0.56,orthorhombic,0.21,0
BeGeO3,0.68,cubic,1.32,0
BeHfO3,0.62,cubic,1.55,0
BeHgO3,0.52,cubic,1.92,0
BeHoO3,0.57,cubic,2.00,0
BeInO3,0.59,cubic,1.87,0
BeIrO3,0.64,cubic,1.63,0
BeKO3,0.47,cubic,3.08,0
BeLaO3,0.54,orthorhombic,0.17,0
BeLiO3,0.60,cubic,1.90,0
BeLuO3,0.58,cubic,1.91,0
BeMgO3,0.62,cubic,1.83,0
BeMnO3,0.68,cubic,1.32,0
BeMoO3,0.64,cubic,1.31,0
BeNaO3,0.54,cubic,2.56,0
BeNbO3,0.63,cubic,1.24,0
BeNdO3,0.55,rhombohedral,0.34,0
BeNiO3,0.70,cubic,1.45,0
BeNpO3,0.58,rhombohedral,0.35,0
BeOsO3,0.66,cubic,1.43,0
BePaO3,0.56,cubic,1.31,0
BePbO3,0.60,cubic,1.76,0
BePdO3,0.65,cubic,1.54,0
BePmO3,0.55,orthorhombic,0.19,0
BePrO3,0.58,orthorhombic,0.17,0
BePtO3,0.63,cubic,1.69,0
BePuO3,0.58,cubic,1.70,0
BeRbO3,0.44,cubic,3.04,0
BeReO3,0.64,cubic,1.36,0
BeRhO3,0.65,cubic,1.62,0
BeRuO3,0.65,cubic,1.51,0
BeSbO3,0.63,cubic,1.46,0
BeScO3,0.61,cubic,1.75,0
BeSiO3,0.73,cubic,1.24,0
BeSmO3,0.55,cubic,2.11,0
BeSnO3,0.62,cubic,1.56,0
BeSrO3,0.50,cubic,2.57,0
BeTaO3,0.63,cubic,1.12,0
BeTbO3,0.60,cubic,2.04,0
BeTcO3,0.65,cubic,1.40,0
BeTeO3,0.55,cubic,1.59,0
BeThO3,0.56,cubic,2.07,0
BeTiO3,0.65,cubic,1.35,0
BeTlO3,0.50,cubic,1.95,0
BeTmO3,0.55,cubic,1.95,0
BeUO3,0.57,cubic,1.53,0
BeVO3,0.66,cubic,1.35,0
BeWO3,0.63,cubic,1.21,0
BeYO3,0.57,cubic,2.03,0
BeYbO3,0.55,orthorhombic,0.06,0
BeZnO3,0.61,cubic,1.69,0
BeZrO3,0.62,cubic,1.63,0
BiAcO3,0.78,cubic,1.04,0
BiAgO3,0.92,orthorhombic,0.07,0
BiAlO3,1.02,orthorhombic,0.07,0
BiAsO3,1.00,orthorhombic,0.23,0
BiAuO3,0.85,cubic,0.55,0
BiBO3,1.19,cubic,0.94,0
BiBaO3,0.71,orthorhombic,0.20,0
BiBeO3,1.07,tetragonal,0.32,0
BiCaO3,0.82,orthorhombic,0.08,0
BiCdO3,0.84,cubic,0.64,0
BiCeO3,0.87,cubic,0.97,0
BiCoO3,0.98,orthorhombic,0.14,0
BiCrO3,0.98,orthorhombic,0.02,1
BiCsO3,0.64,orthorhombic,0.19,0
BiCuO3,1.02,orthorhombic,0.03,0
BiDyO3,0.85,cubic,0.66,0
BiErO3,0.86,cubic,0.60,0
BiEuO3,0.84,orthorhombic,0.13,0
BiFeO3,0.96,orthorhombic,0.02,1
BiGaO3,0.98,tetragonal,0.04,0
BiGdO3,0.84,cubic,0.72,0
BiGeO3,1.03,tetragonal,0.28,0
BiHfO3,0.94,orthorhombic,0.27,0
BiHgO3,0.78,orthorhombic,0.13,0
BiHoO3,0.86,cubic,0.63,0
BiInO3,0.90,orthorhombic,0.04,0
BiIrO3,0.97,cubic,0.56,0
BiKO3,0.71,orthorhombic,0.24,0
BiLaO3,0.81,cubic,0.94,0
BiLiO3,0.91,cubic,0.66,0
BiLuO3,0.87,orthorhombic,0.03,0
BiMgO3,0.93,orthorhombic,0.06,0
BiMnO3,0.96,orthorhombic,0.02,1
BiMoO3,0.95,orthorhombic,0.34,0
BiNaO3,0.81,orthorhombic,0.18,0
BiNbO3,0.97,orthorhombic,0.38,0
BiNdO3,0.83,cubic,0.88,0
BiNiO3,0.99,orthorhombic,0.04,0
BiNpO3,0.87,cubic,0.74,0
BiOsO3,1.00,orthorhombic,0.29,0
BiPaO3,0.85,rhombohedral,0.20,0
BiPbO3,0.91,orthorhombic,0.14,0
BiPdO3,0.98,orthorhombic,0.03,1
BiPmO3,0.83,cubic,0.83,0
BiPrO3,0.88,cubic,0.92,0
BiPtO3,0.95,cubic,0.54,0
BiPuO3,0.88,cubic,0.50,0
BiRbO3,0.67,orthorhombic,0.22,0
BiReO3,1.00,cubic,0.51,0
BiRhO3,0.95,orthorhombic,0.06,0
BiRuO3,0.98,orthorhombic,0.14,0
BiSbO3,0.91,orthorhombic,0.17,0
BiScO3,0.92,orthorhombic,0.03,0
BiSiO3,1.10,cubic,0.73,0
BiSmO3,0.84,cubic,0.80,0
BiSnO3,0.95,orthorhombic,0.22,0
BiSrO3,0.76,orthorhombic,0.16,0
BiTaO3,0.97,orthorhombic,0.49,0
